,statistical values,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,count,156.0,156,156.0,156.0,156.0,156.0,156.0,156.0,156.0
1,unique,,156,,,,,,,
2,top,,Finland,,,,,,,
3,freq,,1,,,,,,,
4,mean,78.5,,5.407096153846155,0.905147435897436,1.2088141025641026,0.7252435897435898,0.39257051282051286,0.18484615384615383,0.11060256410256411
5,std,45.17742799230607,,1.1131198687956712,0.39838946424220284,0.29919140069769296,0.24212399840537246,0.1432894707060473,0.09525444050922018,0.09453783536745279
6,min,1.0,,2.853,0.0,0.0,0.0,0.0,0.0,0.0
7,25%,39.75,,4.5445,0.60275,1.05575,0.5477500000000001,0.308,0.10875,0.047
8,50%,78.5,,5.3795,0.96,1.2715,0.789,0.417,0.1775,0.08549999999999999
9,75%,117.25,,6.1845,1.2325000000000002,1.4525,0.88175,0.50725,0.24825,0.14125
10,max,156.0,,7.769,1.684,1.624,1.141,0.631,0.566,0.453
